神器ID,任务类型,任务标题,进度值,条件,奖励,跳转,排序
1,wanjialv,玩家等级达到5级({1}/{2}),5,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",1,11
1,yingxionglv,任意英雄等级达到20级({1}/{2}),20,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",30,12
1,richangtask,完成3个日常任务({1}/{2}),3,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",14,13
1,maxmap,探险通关第10关({1}/{2}),10,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",1,14
2,wanjialv,玩家等级达到18级({1}/{2}),18,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",1,21
2,maxmap,探险通关第20关({1}/{2}),20,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",1,22
2,xuyuan,进行普通祭坛抽奖4次({1}/{2}),4,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",3,23
2,kuaisu,进行快速探险2次({1}/{2}),2,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",1,24
2,yingxionglv,任意英雄等级达到40级({1}/{2}),40,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",30,25
2,jjc,进行竞技场挑战3次({1}/{2}),3,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",11,26
3,wanjialv,玩家等级达到24级({1}/{2}),24,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",1,31
3,maxmap,探险通关第30关({1}/{2}),30,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",1,32
3,meirishilian,完成3次每日试炼({1}/{2}),3,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",9,33
3,gonghui,加入或创建一个公会,1,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",10,34
3,zahuodian,杂货店购买3次商品({1}/{2}),3,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",4,35
3,fenjie,对一个英雄进行分解({1}/{2}),1,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",27,36
4,wanjialv,玩家等级达到36级({1}/{2}),36,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",1,41
4,maxmap,探险通关第40关({1}/{2}),40,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",1,42
4,fashita,通关巨龙神殿第30层({1}/{2}),30,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",15,43
4,xuanshang,完成悬赏任务3次({1}/{2}),3,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",6,44
4,jjc,进行竞技场挑战10次({1}/{2}),10,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",11,45
4,gaojizhaohuan,进行高级召唤5次({1}/{2}),5,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",5,46
5,wanjialv,玩家等级达到45级({1}/{2}),45,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",1,51
5,maxmap,探险通关第70关({1}/{2}),70,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",1,52
5,fashita,通关巨龙神殿第50层({1}/{2}),50,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",15,53
5,yingxionglv,任意英雄等级达到80级({1}/{2}),80,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",30,54
5,yuanzheng,远征最大通关第8关({1}/{2}),8,,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",7,55
5,ronghe,成功融合一个5星英雄({1}/{2}),1,5,"{""a"":""attr"",""t"":""rmbmoney"",""n"":50}",33,56
