英雄ID,英雄名称,宝石属性,饰品
11076,冰霜骨龙,1,6526
11086,亡灵领主,4,6526
11096,冷血督军,1,6526
11106,复仇战鬼,1,6496
12036,血衣骨法,1,6526
12046,凯尔文,1,6526
13046,亡魂医者,1,6526
13056,萨基尔,10,6496
14036,死亡刺客,1,6526
14046,幽冥狼王,1,6526
14056,地狱拳师,1,6526
15036,暗影猎手,1,6526
15046,艾莲娜,10,6526
21046,暴风领主,1,6526
21056,巨岩神使,8,6496
22046,守望法师,1,6526
22056,冰蓝巨龙,1,6526
22066,火焰魔导士,1,6526
22076,狂雷囚徒,1,6526
23036,奥赛隆,8,6526
24036,虚灵杀手蟹,1,6526
24046,幻影利刃,8,6496
25066,风领主,1,6526
25076,奥秘管理员,8,6526
25086,侏儒大师,4,6136
31076,理查兹领主,8,6526
31086,毁灭巨龙,1,6526
31096,黑锋骑士,8,6496
31106,腥红女爵,1,6526
31116,嗜血剑圣,3,6496
32056,火焰魔王,1,6526
32066,巨魔领袖,1,6526
33036,王牌地精,1,6526
34026,恶魔刺客,1,6526
35036,深渊猎手,1,6526
35046,黑暗阿西卡,1,6526
35056,伊芙丽亚,8,6496
41056,火焰女王,1,6526
41066,牛头人酋长,8,6526
42016,元素萨满,1,6526
42026,塞西亚,10,6526
43066,卡琳娜,1,6526
43076,艾琳,4,6526
44046,僧侣,1,6526
44056,展翅之鹰,1,6526
45046,森林猎手,1,6526
45056,风语者,1,6526
45066,伊赫拉,1,6526
51016,食人魔领袖,8,6286
51026,颤栗之翼,4,6496
52046,帕米尔隆,10,6556
52056,乌鸦之神,1,6286
55016,暗夜主宰,1,6286
55026,堕天大圣,4,6286
61026,光之大领主,4,6466
62026,圣洁护教,1,6466
63026,圣光先知,1,6496
63036,安德鲁斯,8,6496
64026,时空守卫,4,6466
65016,审判之刃,8,6496
